NO_OF_FRAMES	5975
NO_OF_CAMERAS	9
NO_OF_BODIES	1
FREQUENCY	50
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-15, 18:29:58	28922.40665050
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
New Body #1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1031.54907	-612.52899	377.21232	0.03038	0.04310	90.03896	0.19125	-0.00068	1.00000	0.00053	-1.00000	-0.00068	0.00075	0.00075	-0.00053	1.00000	
1030.81711	-612.88945	377.81157	0.01637	0.04029	90.02094	0.19810	-0.00037	1.00000	0.00029	-1.00000	-0.00037	0.00070	0.00070	-0.00029	1.00000	
1031.43453	-612.62384	377.56952	0.02740	0.02429	90.03242	0.17550	-0.00057	1.00000	0.00048	-1.00000	-0.00057	0.00042	0.00042	-0.00048	1.00000	
1031.33881	-612.72593	377.79266	0.01873	0.03288	90.03274	0.19465	-0.00057	1.00000	0.00033	-1.00000	-0.00057	0.00057	0.00057	-0.00033	1.00000	
1030.47095	-612.92688	377.63092	0.02038	0.04277	90.01459	0.18606	-0.00025	1.00000	0.00036	-1.00000	-0.00025	0.00075	0.00075	-0.00036	1.00000	
1030.09542	-613.14485	378.09721	0.01049	0.03727	90.00384	0.17349	-0.00007	1.00000	0.00018	-1.00000	-0.00007	0.00065	0.00065	-0.00018	1.00000	
1030.03468	-613.09488	378.14301	0.00597	0.04889	90.00643	0.15509	-0.00011	1.00000	0.00010	-1.00000	-0.00011	0.00085	0.00085	-0.00010	1.00000	
1030.43853	-612.94767	378.04577	0.00925	0.04912	90.01630	0.14682	-0.00028	1.00000	0.00016	-1.00000	-0.00028	0.00086	0.00086	-0.00016	1.00000	
1030.50225	-612.87320	377.95793	0.01241	0.04592	90.01878	0.16345	-0.00033	1.00000	0.00022	-1.00000	-0.00033	0.00080	0.00080	-0.00022	1.00000	
1030.12397	-612.99376	377.87570	0.01549	0.04579	90.00874	0.13204	-0.00015	1.00000	0.00027	-1.00000	-0.00015	0.00080	0.00080	-0.00027	1.00000	
1030.05925	-612.88366	377.64162	0.01911	0.05232	90.01012	0.14202	-0.00018	1.00000	0.00033	-1.00000	-0.00018	0.00091	0.00091	-0.00033	1.00000	
1030.23468	-612.81325	377.60627	0.02122	0.05233	90.01511	0.12142	-0.00026	1.00000	0.00037	-1.00000	-0.00026	0.00091	0.00091	-0.00037	1.00000	
1029.94148	-612.91517	377.59890	0.01725	0.06326	90.01054	0.12575	-0.00018	1.00000	0.00030	-1.00000	-0.00018	0.00110	0.00110	-0.00030	1.00000	
1029.94746	-612.86437	377.38682	0.02445	0.05898	90.01009	0.13035	-0.00018	1.00000	0.00043	-1.00000	-0.00018	0.00103	0.00103	-0.00043	1.00000	
1030.03304	-612.96590	377.93778	0.01385	0.04684	90.00967	0.10004	-0.00017	1.00000	0.00024	-1.00000	-0.00017	0.00082	0.00082	-0.00024	1.00000	
1030.44390	-612.71205	377.52997	0.02373	0.05115	90.02132	0.15387	-0.00037	1.00000	0.00041	-1.00000	-0.00037	0.00089	0.00089	-0.00041	1.00000	
1029.48339	-613.04722	377.65867	0.02095	0.05008	89.99728	0.16191	0.00005	1.00000	0.00037	-1.00000	0.00005	0.00087	0.00087	-0.00037	1.00000	
1029.14391	-613.10182	377.59371	0.01962	0.06026	89.99108	0.15679	0.00016	1.00000	0.00034	-1.00000	0.00016	0.00105	0.00105	-0.00034	1.00000	
1030.13537	-612.64959	376.88512	0.03753	0.06037	90.01467	0.16500	-0.00026	1.00000	0.00066	-1.00000	-0.00026	0.00105	0.00105	-0.00065	1.00000	
1029.93678	-612.79787	377.26289	0.02553	0.06696	90.01202	0.19499	-0.00021	1.00000	0.00045	-1.00000	-0.00021	0.00117	0.00117	-0.00045	1.00000	
1030.46403	-612.56389	377.19623	0.03067	0.05916	90.02355	0.22673	-0.00041	1.00000	0.00054	-1.00000	-0.00041	0.00103	0.00103	-0.00054	1.00000	
1030.22477	-612.80104	377.77907	0.01741	0.05359	90.01604	0.17228	-0.00028	1.00000	0.00030	-1.00000	-0.00028	0.00094	0.00094	-0.00030	1.00000	
1030.87229	-612.48128	377.35104	0.02587	0.06291	90.03583	0.17220	-0.00063	1.00000	0.00045	-1.00000	-0.00063	0.00110	0.00110	-0.00045	1.00000	
